iterations,costs
126,31798.599669312498
127,31772.788903203524
128,31756.72958107606
129,31754.72999981061
130,31739.131330771568
131,31734.27021135574
132,31725.660201723145
133,31703.59329821646
134,31703.59329821646
135,31703.198847733194
136,31692.095508239094
137,31655.54584305915
138,31651.056946943376
139,31644.71109559807
140,31622.48028593614
141,31611.635263574844
142,31587.4321661313
143,31578.99740922584
144,31539.10672538216
145,31522.07286219195
146,31487.843913880573
147,31459.449335376732
148,31447.841159388634
149,31412.835449152342
150,31410.308222662286
151,31393.42804024161
152,31372.36667297493
153,31347.46940521862
154,31337.13988286509
155,31315.406974568778
156,31294.926384861883
157,31258.770411714784
158,31238.544598132557
159,31222.32010082526
160,31173.501067436184
161,31173.501067436184
162,31164.39373654068
163,31131.991458510533
164,31097.041662851057
165,31085.01623362817
166,31076.500572091423
167,31046.179138976586
168,31033.66100369051
169,31003.38443433443
170,30980.64095594528
171,30968.69892096828
172,30954.5226005162
173,30926.9444340921
174,30914.653132524698
175,30889.2879593899
176,30886.36458047296
177,30874.15063615605
178,30856.063532864522
179,30835.321575548318
180,30827.723068930693
181,30806.623130860313
182,30805.26549592461
183,30764.556959114903
184,30707.60173336456
185,30689.986571165133
186,30667.93194486846
187,30650.408338848956
188,30604.031634321174
189,30570.929285669077
190,30528.87771717161
191,30525.08510062151
192,30509.16022699133
193,30479.86715959619
194,30441.475190365418
195,30416.241289603833
196,30397.176273106645
197,30382.99846297007
198,30365.54928007225
199,30326.378170079977
200,30305.612682241026
201,30275.72708645076
202,30266.691554494995
203,30260.833828792838
204,30211.386138785816
205,30211.386138785816
206,30205.008989072878
207,30198.45664481278
208,30156.009306755986
209,30125.317783976243
210,30125.317783976243
211,30125.317783976243
212,30120.826604280453
213,30087.76656790619
214,30058.273595534672
215,30031.38752149029
216,30008.95796403144
217,29978.972453858594
218,29960.528947002644
219,29918.12890560637
220,29883.13753468902
221,29844.70021892112
222,29834.53780879413
223,29819.90075280423
224,29773.46502774921
225,29700.999789490405
226,29695.434018799344
227,29635.50414507994
228,29631.193950090965
229,29609.198082446754
230,29597.579799423365
231,29581.07555359601
232,29577.114097119153
233,29561.97667198918
234,29532.27620794769
235,29509.727766456526
236,29485.225700619845
237,29458.48125472977
238,29425.12826738037
239,29385.10058798159
240,29353.115624389124
241,29345.07046487396
242,29344.91016879376
243,29309.014432136864
244,29303.47177913979
245,29277.484683161892
246,29269.75403388797
247,29247.800088191085
248,29239.753328452352
249,29181.42710295926
250,29176.48397143944
251,29166.894025028254
252,29166.894025028254
253,29166.792483614467
254,29154.286435694325
255,29135.466379995905
256,29120.295150742757
257,29106.944910198938
258,29063.424810444605
259,29054.401494088997
260,29048.78788725796
261,29043.465296564384
262,29002.835095487426
263,28980.330610403966
264,28959.13628019182
265,28944.426282691195
266,28940.122742387255
267,28897.934135057505
268,28894.79514876855
269,28878.691660980017
270,28878.691660980017
271,28863.29472247138
272,28857.902056802654
273,28817.24285485929
274,28813.11326733997
275,28799.270127536274
276,28781.11255235016
277,28761.71579467928
278,28751.734876020004
279,28740.077432985865
280,28733.504145152772
281,28703.507762735837
282,28693.331958776187
283,28673.926161801755
284,28663.794815949175
285,28659.06965700863
286,28650.144982175996
287,28646.73179310303
288,28641.390278559247
289,28640.165349112467
290,28639.11407151625
291,28620.60620202068
292,28604.425596643367
293,28604.425596643367
294,28604.425596643367
295,28604.425596643367
296,28604.425596643367
297,28604.425596643367
298,28600.916414817435
299,28574.908031231305
300,28565.838804999174
301,28565.838804999174
302,28565.838804999174
303,28563.977011104882
304,28562.61961850786
305,28536.938682476415
306,28518.848103367047
307,28514.578485101945
308,28498.02698426522
309,28498.02698426522
310,28498.02698426522
311,28496.053076327826
312,28490.02485194658
313,28487.524405255077
314,28487.16347654137
315,28457.15551598823
316,28453.14602446605
317,28440.53889491061
318,28435.345045458795
319,28400.43709376115
320,28400.43709376115
321,28398.307411795802
322,28393.91851224238
323,28386.032573961253
324,28380.29874621411
325,28380.29874621411
326,28360.92927541209
327,28326.3950374012
328,28269.319970563374
329,28269.319970563374
330,28269.319970563374
331,28269.319970563374
332,28263.81136327529
333,28261.343128468656
334,28255.113212441694
335,28252.756502609485
336,28248.319984295533
337,28244.772186540737
338,28244.772186540737
339,28243.83100479024
340,28239.23173292604
341,28203.415052741177
342,28200.819248144526
343,28195.010173017556
344,28193.98194858105
345,28178.234757615493
346,28176.658127015202
347,28162.55466832727
348,28162.55466832727
349,28158.98266328841
350,28158.98266328841
351,28158.98266328841
352,28158.98266328841
353,28158.98266328841
354,28158.98266328841
355,28154.599259346625
356,28112.594783334258
357,28112.594783334258
358,28112.594783334258
359,28111.720906863262
360,28111.720906863262
361,28109.0388303019
