,Means
689,34937.32071049872
690,34930.63852818889
691,34592.193122099015
692,34861.15896072892
693,34858.619046145024
694,34849.33617238632
695,34851.7028527253
696,34903.36087033016
697,35073.42543683828
698,35046.69022687395
699,34933.37695234761
700,34916.32185306761
701,34782.792233452
702,34921.71019625044
703,34945.56566028483
704,34944.51939953238
705,34932.97935626171
706,34983.99957455808
707,34905.8400474877
708,35062.289456882725
709,35057.192402093424
710,34981.56377988562
711,34952.36909972894
712,34761.355376705294
713,35049.60989117154
714,35196.478823149664
715,35200.29173571556
716,34923.09794589294
717,35050.72009736033
718,35042.32671718001
719,35111.8099946763
720,35113.70623259947
721,34859.26429496365
722,34860.597662859305
723,34902.27696221391
724,34877.047258687686
725,34860.72738411657
726,34815.49492485619
727,34883.69472040876
728,34857.45501138541
729,34956.68177704646
730,34944.62301369122
731,34810.93728211493
732,34876.85808771411
733,34850.816751520324
734,34799.62494421103
735,34763.81834455978
736,34916.155323039624
737,35087.47049526306
738,35102.449490464045
739,35097.84803313692
740,34848.94945172442
741,34823.56642251318
742,34549.839140794014
743,34741.18061866027
744,34718.67123097074
745,34548.59555798412
746,34538.24695853947
747,34450.60010918525
748,34517.84647023462
749,34559.24753115681
750,34569.492910957866
751,34483.57380115938
752,34608.28657465112
753,34577.56608482204
754,34482.83109058808
755,34669.12753782635
756,34530.943466936194
757,34520.71407773861
758,34368.10916965333
759,34368.10916965333
760,34570.79079895349
761,34592.83461516901
762,34686.75905791363
763,34647.76272198031
764,34651.46270518579
765,34655.19123274433
766,34444.54863754083
767,34673.474390485906
768,34569.863933575296
769,34757.39504381894
770,34743.61168550857
771,34748.99535284069
772,34605.57604921615
773,34635.05396757617
774,34490.060729008124
775,34648.21271568499
776,34647.05482429369
777,34619.41287113307
778,34590.47463818197
779,34760.666244549815
780,34815.83850810891
781,34631.51571597055
782,34719.063304808864
783,34756.22609189783
784,34559.129224315184
785,34585.44841342065
786,34481.3537266
787,34520.99262534892
788,34580.95799703467
789,34579.944375444706
790,34530.30349438052
791,34543.76335468244
792,34609.34961823112
793,34493.26301438679
794,34587.73638042738
795,34678.99034243518
796,34690.103770543596
797,34556.00760984712
798,34564.569635009735
799,34445.70597243601
800,34730.63326678133
801,34730.558125827476
802,34407.73688878686
803,34447.484835044714
804,34147.515015342506
805,34269.03966949407
806,34181.03541419355
807,34184.459590643106
808,33950.24150250319
809,34000.32607923608
810,33851.8028452191
811,33950.60009877031
812,33803.572956444594
813,33987.36883095744
814,33985.16867740358
815,33994.46079287
816,33997.844544650055
817,34012.03365017683
818,33787.42669547575
819,33858.37511286129
820,33814.61948934617
821,33851.9025208487
822,33920.546827108745
823,33742.96088741099
824,33942.82351802496
825,33929.84694476547
826,33941.62915619262
827,33878.5998204982
828,33974.290279608846
829,34139.11751693292
830,34110.905153521475
831,34114.51743109623
832,34138.99083367654
833,34141.179018224124
834,34265.72492992718
835,34315.16319554912
836,34397.45197639791
837,34372.59073139559
838,34316.80775831219
839,34359.07377906537
840,34363.85623017994
841,34396.578269589096
842,34309.72023606052
843,34336.62432573748
844,34245.95184898036
845,34209.325623554
846,34182.465759894345
847,34089.87947241792
848,34145.238370113395
849,34181.10027850852
850,34277.892860472944
851,34275.50110301923
852,34073.11533394019
853,34126.18367192998
854,34101.14481790481
855,34140.176662456375
856,34198.253857225136
857,34246.48272337151
858,34110.32615292928
859,34352.1480684595
860,34341.217416833184
861,34323.07769001188
862,34294.56615400575
863,34418.54554309558
864,34341.01231244869
865,34377.14426834751
866,34307.05158203715
867,34256.28062913432
868,34343.148744471
869,34334.886515695725
870,34478.523346306574
871,34450.03729286537
872,34604.5438061682
873,34605.04379121789
874,34457.66932757382
875,34425.14724637332
876,34277.20337116213
877,34226.261502704096
878,34077.33445219192
879,34006.31445557912
880,33991.15696450324
881,34014.272559456644
882,34066.38391657678
883,34216.10081732465
884,34153.69794804913
885,34111.57715112935
886,33929.08369642045
887,33909.5172275263
888,33909.784935111624
889,33877.9846585242
890,33825.564989866034
891,33827.48960746394
892,33862.40974424762
893,33892.761767462645
894,33775.6116311462
895,33652.66064118811
896,33648.22817474663
897,33604.14945964831
898,33597.96494151602
899,33513.516621910705
900,33563.587439356954
901,33733.39573526501
902,33683.83410429505
903,33665.47566345873
904,33631.3533854079
905,33719.71018773742
906,33659.454480404806
907,33713.071005405174
908,33789.49796059393
909,33918.011230829616
910,33919.83674196579
911,33814.0814487476
912,33963.40775715455
